iteration,mode,PC,FA,SC,FAGG,CAGG,WATER,AEA,WR_HR,WR,ACC,w/b,b/a,SCM%,CAGG%,FAGG%,PC%,FA%,SC%,total_binder,pred_7day,pred_28day,pred_56day,gwp,gwp_gap,str_margin,feasible
1,exploit,164.0,0.0,400.0,1350.0,1850.0,230.0,2.0,0.0,35.0,0.0,0.4078,0.17625,0.70922,0.57812,0.42188,0.29078,0.0,0.70922,564.0,36.59,51.24,56.41,287.83,75.47,1.24,True
2,exploit,164.0,0.0,430.0,1350.0,1850.0,220.0,2.0,0.0,50.0,0.0,0.37037,0.18563,0.72391,0.57812,0.42188,0.27609,0.0,0.72391,594.0,39.66,55.77,59.96,295.75,83.39,5.77,True
3,exploit,194.0,0.0,430.0,1350.0,1850.0,195.0,2.0,0.0,65.0,150.0,0.3125,0.195,0.6891,0.57812,0.42188,0.3109,0.0,0.6891,624.0,40.35,58.45,62.23,327.19,114.83,8.45,True
4,exploit,164.0,0.0,390.0,1350.0,1850.0,180.0,2.0,0.0,65.0,250.0,0.32491,0.17313,0.70397,0.57812,0.42188,0.29603,0.0,0.70397,554.0,40.4,55.68,59.74,285.19,72.83,5.68,True
5,exploit,164.0,0.0,405.0,1350.0,1850.0,175.0,2.0,0.0,65.0,350.0,0.30756,0.17781,0.71178,0.57812,0.42188,0.28822,0.0,0.71178,569.0,41.45,56.86,60.22,289.15,76.79,6.86,True
6,exploit,164.0,0.0,385.0,1350.0,1850.0,165.0,2.0,0.0,65.0,450.0,0.30055,0.17156,0.70128,0.57812,0.42188,0.29872,0.0,0.70128,549.0,41.3,56.25,60.12,283.87,71.51,6.25,True
7,exploit,164.0,0.0,365.0,1350.0,1850.0,155.0,2.0,0.0,65.0,500.0,0.29301,0.16531,0.68998,0.57812,0.42188,0.31002,0.0,0.68998,529.0,40.73,57.84,61.09,278.59,66.23,7.84,True
8,exploit,164.0,0.0,345.0,1350.0,1850.0,153.0,2.0,0.0,65.0,600.0,0.30059,0.15906,0.6778,0.57812,0.42188,0.3222,0.0,0.6778,509.0,40.3,57.81,61.04,273.31,60.95,7.81,True
9,exploit,164.0,0.0,325.0,1350.0,1850.0,153.0,2.0,0.0,65.0,700.0,0.31288,0.15281,0.66462,0.57812,0.42188,0.33538,0.0,0.66462,489.0,39.76,57.3,60.75,268.03,55.67,7.3,True
10,exploit,164.0,0.0,305.0,1350.0,1850.0,153.0,2.0,0.0,75.0,700.0,0.32623,0.14656,0.65032,0.57812,0.42188,0.34968,0.0,0.65032,469.0,39.46,56.28,59.77,262.75,50.39,6.28,True
11,exploit,164.0,50.0,295.0,1350.0,1850.0,153.0,2.0,0.0,75.0,700.0,0.30059,0.15906,0.6778,0.57812,0.42188,0.3222,0.09823,0.57957,509.0,39.11,56.39,60.28,276.51,64.15,6.39,True
12,exploit,184.0,0.0,275.0,1350.0,1850.0,153.0,2.0,0.0,75.0,700.0,0.33333,0.14344,0.59913,0.57812,0.42188,0.40087,0.0,0.59913,459.0,39.15,55.28,59.25,275.79,63.43,5.28,True
13,exploit,164.0,0.0,295.0,1350.0,1850.0,153.0,2.0,0.0,75.0,700.0,0.33333,0.14344,0.6427,0.57812,0.42188,0.3573,0.0,0.6427,459.0,39.51,56.3,59.62,260.11,47.75,6.3,True
