iteration,mode,PC,FA,SC,FAGG,CAGG,WATER,AEA,WR_HR,WR,ACC,w/b,b/a,SCM%,CAGG%,FAGG%,PC%,FA%,SC%,total_binder,pred_7day,pred_28day,pred_56day,gwp,gwp_gap,str_margin,feasible
1,exploit,375.0,0.0,200.0,900.0,1600.0,190.0,5.0,58.0,37.0,768.0,0.33043,0.23,0.34783,0.64,0.36,0.65217,0.0,0.34783,575.0,37.55,50.12,54.86,454.06,241.7,0.12,True
2,exploit,355.0,0.0,220.0,900.0,1600.0,180.0,5.0,60.0,38.0,768.0,0.31304,0.23,0.38261,0.64,0.36,0.61739,0.0,0.38261,575.0,38.85,52.26,56.77,438.38,226.02,2.26,True
3,exploit,335.0,0.0,240.0,900.0,1600.0,170.0,5.0,62.0,40.0,768.0,0.29565,0.23,0.41739,0.64,0.36,0.58261,0.0,0.41739,575.0,39.33,54.25,58.35,422.7,210.34,4.25,True
4,exploit,320.0,0.0,255.0,900.0,1600.0,160.0,5.0,65.0,42.0,768.0,0.27826,0.23,0.44348,0.64,0.36,0.55652,0.0,0.44348,575.0,40.02,54.9,59.35,410.94,198.58,4.9,True
5,exploit,305.0,0.0,270.0,900.0,1600.0,153.0,5.0,68.0,44.0,768.0,0.26609,0.23,0.46957,0.64,0.36,0.53043,0.0,0.46957,575.0,40.03,56.05,59.66,399.18,186.82,6.05,True
6,exploit,290.0,0.0,285.0,900.0,1600.0,153.0,5.0,70.0,45.0,768.0,0.26609,0.23,0.49565,0.64,0.36,0.50435,0.0,0.49565,575.0,40.15,56.32,59.57,387.42,175.06,6.32,True
7,exploit,275.0,0.0,300.0,900.0,1600.0,153.0,5.0,72.0,46.0,768.0,0.26609,0.23,0.52174,0.64,0.36,0.47826,0.0,0.52174,575.0,40.01,56.12,59.76,375.66,163.3,6.12,True
8,exploit,260.0,0.0,315.0,900.0,1600.0,153.0,5.0,74.0,47.0,768.0,0.26609,0.23,0.54783,0.64,0.36,0.45217,0.0,0.54783,575.0,40.1,56.32,59.85,363.9,151.54,6.32,True
9,exploit,245.0,0.0,330.0,900.0,1600.0,153.0,5.0,76.0,48.0,768.0,0.26609,0.23,0.57391,0.64,0.36,0.42609,0.0,0.57391,575.0,40.58,56.29,59.98,352.14,139.78,6.29,True
10,exploit,230.0,0.0,345.0,900.0,1600.0,153.0,5.0,78.0,49.0,768.0,0.26609,0.23,0.6,0.64,0.36,0.4,0.0,0.6,575.0,40.73,56.8,60.25,340.38,128.02,6.8,True
11,exploit,215.0,0.0,360.0,900.0,1600.0,153.0,5.0,80.0,50.0,768.0,0.26609,0.23,0.62609,0.64,0.36,0.37391,0.0,0.62609,575.0,40.79,56.79,60.32,328.62,116.26,6.79,True
12,exploit,200.0,0.0,375.0,900.0,1600.0,153.0,5.0,82.0,51.0,768.0,0.26609,0.23,0.65217,0.64,0.36,0.34783,0.0,0.65217,575.0,40.97,56.79,60.37,316.86,104.5,6.79,True
13,exploit,185.0,0.0,390.0,900.0,1600.0,153.0,5.0,84.0,52.0,768.0,0.26609,0.23,0.67826,0.64,0.36,0.32174,0.0,0.67826,575.0,40.89,56.79,60.52,305.1,92.74,6.79,True
14,exploit,170.0,0.0,405.0,900.0,1600.0,153.0,5.0,86.0,53.0,768.0,0.26609,0.23,0.70435,0.64,0.36,0.29565,0.0,0.70435,575.0,40.98,56.05,60.45,293.34,80.98,6.05,True
15,exploit,164.0,0.0,420.0,900.0,1600.0,153.0,5.0,88.0,54.0,768.0,0.26199,0.2336,0.71918,0.64,0.36,0.28082,0.0,0.71918,584.0,40.5,56.49,60.93,291.01,78.65,6.49,True
16,exploit,164.0,10.0,410.0,900.0,1600.0,153.0,5.0,90.0,55.0,768.0,0.26199,0.2336,0.71918,0.64,0.36,0.28082,0.01712,0.70205,584.0,40.47,56.49,61.06,291.65,79.29,6.49,True
17,exploit,164.0,0.0,420.0,900.0,1600.0,153.0,5.0,88.0,54.0,768.0,0.26199,0.2336,0.71918,0.64,0.36,0.28082,0.0,0.71918,584.0,40.5,56.49,60.93,291.01,78.65,6.49,True
18,exploit,164.0,0.0,410.0,900.0,1600.0,153.0,5.0,90.0,55.0,768.0,0.26655,0.2296,0.71429,0.64,0.36,0.28571,0.0,0.71429,574.0,41.02,56.05,60.41,288.37,76.01,6.05,True
19,exploit,164.0,0.0,400.0,900.0,1600.0,153.0,5.0,92.0,56.0,768.0,0.27128,0.2256,0.70922,0.64,0.36,0.29078,0.0,0.70922,564.0,40.6,55.69,60.16,285.73,73.37,5.69,True
20,exploit,164.0,0.0,390.0,900.0,1600.0,153.0,5.0,94.0,57.0,768.0,0.27617,0.2216,0.70397,0.64,0.36,0.29603,0.0,0.70397,554.0,40.35,55.59,60.21,283.09,70.73,5.59,True
21,exploit,164.0,10.0,380.0,900.0,1600.0,153.0,5.0,96.0,58.0,768.0,0.27617,0.2216,0.70397,0.64,0.36,0.29603,0.01805,0.68592,554.0,40.35,55.59,60.21,283.73,71.37,5.59,True
22,exploit,164.0,0.0,390.0,900.0,1600.0,153.0,5.0,94.0,57.0,768.0,0.27617,0.2216,0.70397,0.64,0.36,0.29603,0.0,0.70397,554.0,40.35,55.59,60.21,283.09,70.73,5.59,True
23,exploit,164.0,0.0,386.0,950.0,1650.0,153.0,5.0,94.0,57.0,768.0,0.27818,0.21154,0.70182,0.63462,0.36538,0.29818,0.0,0.70182,550.0,41.52,55.85,60.61,282.35,69.99,5.85,True
24,exploit,164.0,0.0,376.0,970.0,1680.0,153.0,5.0,94.0,57.0,768.0,0.28333,0.20377,0.6963,0.63396,0.36604,0.3037,0.0,0.6963,540.0,40.77,57.2,61.15,279.87,67.51,7.2,True
25,exploit,164.0,0.0,366.0,1000.0,1730.0,153.0,5.0,94.0,57.0,768.0,0.28868,0.19414,0.69057,0.6337,0.3663,0.30943,0.0,0.69057,530.0,40.43,56.69,59.95,277.5,65.14,6.69,True
26,exploit,164.0,0.0,356.0,1030.0,1770.0,153.0,5.0,94.0,57.0,768.0,0.29423,0.18571,0.68462,0.63214,0.36786,0.31538,0.0,0.68462,520.0,40.85,56.22,58.72,275.08,62.72,6.22,True
27,exploit,164.0,0.0,346.0,1060.0,1810.0,153.0,5.0,94.0,57.0,768.0,0.3,0.1777,0.67843,0.63066,0.36934,0.32157,0.0,0.67843,510.0,40.49,56.46,58.8,272.67,60.31,6.46,True
28,exploit,164.0,0.0,336.0,1090.0,1850.0,153.0,5.0,94.0,57.0,768.0,0.306,0.17007,0.672,0.62925,0.37075,0.328,0.0,0.672,500.0,40.69,56.42,58.72,270.26,57.9,6.42,True
29,exploit,164.0,0.0,326.0,1120.0,1890.0,153.0,5.0,94.0,57.0,768.0,0.31224,0.16279,0.66531,0.62791,0.37209,0.33469,0.0,0.66531,490.0,39.55,56.44,58.42,267.84,55.48,6.44,True
30,exploit,164.0,0.0,316.0,1150.0,1930.0,153.0,5.0,94.0,57.0,768.0,0.31875,0.15584,0.65833,0.62662,0.37338,0.34167,0.0,0.65833,480.0,39.58,56.29,58.45,265.43,53.07,6.29,True
