iteration,mode,PC,FA,SC,FAGG,CAGG,WATER,AEA,WR_HR,WR,ACC,w/b,b/a,SCM%,CAGG%,FAGG%,PC%,FA%,SC%,total_binder,pred_7day,pred_28day,pred_56day,gwp,gwp_gap,str_margin,feasible
1,exploit,165.0,0.0,385.0,1350.0,1850.0,238.0,2.0,0.0,32.0,0.0,0.43273,0.17188,0.7,0.57812,0.42188,0.3,0.0,0.7,550.0,33.74,51.57,56.95,284.92,72.56,1.57,True
2,exploit,164.0,0.0,415.0,1350.0,1850.0,228.0,2.0,0.0,50.0,0.0,0.39378,0.18094,0.71675,0.57812,0.42188,0.28325,0.0,0.71675,579.0,40.59,55.9,59.7,291.79,79.43,5.9,True
3,exploit,164.0,0.0,430.0,1350.0,1850.0,213.0,2.0,0.0,80.0,0.0,0.35859,0.18563,0.72391,0.57812,0.42188,0.27609,0.0,0.72391,594.0,41.35,55.4,59.15,295.75,83.39,5.4,True
4,exploit,164.0,20.0,410.0,1350.0,1850.0,200.0,2.0,0.0,80.0,0.0,0.3367,0.18563,0.72391,0.57812,0.42188,0.27609,0.03367,0.69024,594.0,41.33,56.33,59.91,297.03,84.67,6.33,True
5,exploit,164.0,40.0,380.0,1350.0,1850.0,175.0,2.0,0.0,110.0,0.0,0.29966,0.1825,0.71918,0.57812,0.42188,0.28082,0.06849,0.65068,584.0,42.91,58.4,61.23,295.67,83.31,8.4,True
6,exploit,164.0,40.0,360.0,1450.0,1950.0,165.0,2.0,0.0,110.0,0.0,0.29255,0.16588,0.70922,0.57353,0.42647,0.29078,0.07092,0.6383,564.0,40.33,57.15,60.35,291.02,78.66,7.15,True
7,exploit,164.0,40.0,345.0,1450.0,1950.0,153.0,2.0,0.0,140.0,0.0,0.27869,0.16147,0.70128,0.57353,0.42647,0.29872,0.07286,0.62842,549.0,40.44,57.27,60.79,287.06,74.7,7.27,True
8,exploit,164.0,40.0,330.0,1450.0,1950.0,153.0,2.0,0.0,170.0,0.0,0.28652,0.15706,0.69288,0.57353,0.42647,0.30712,0.07491,0.61798,534.0,39.88,57.92,60.96,283.1,70.74,7.92,True
9,exploit,164.0,40.0,330.0,1450.0,1950.0,153.0,2.0,0.0,170.0,150.0,0.28652,0.15706,0.69288,0.57353,0.42647,0.30712,0.07491,0.61798,534.0,40.06,57.54,60.54,283.1,70.74,7.54,True
10,exploit,164.0,40.0,345.0,1450.0,1950.0,153.0,2.0,0.0,170.0,100.0,0.27869,0.16147,0.70128,0.57353,0.42647,0.29872,0.07286,0.62842,549.0,40.42,56.89,59.46,287.06,74.7,6.89,True
11,exploit,164.0,40.0,360.0,1450.0,1950.0,153.0,2.0,0.0,170.0,50.0,0.27128,0.16588,0.70922,0.57353,0.42647,0.29078,0.07092,0.6383,564.0,40.14,57.72,60.65,291.02,78.66,7.72,True
