iteration,mode,PC,FA,SC,FAGG,CAGG,WATER,AEA,WR_HR,WR,ACC,w/b,b/a,SCM%,CAGG%,FAGG%,PC%,FA%,SC%,total_binder,pred_7day,pred_28day,pred_56day,gwp,gwp_gap,str_margin,feasible
1,exploit,165.0,0.0,385.0,1350.0,1850.0,238.0,2.0,0.0,32.0,0.0,0.43273,0.17188,0.7,0.57812,0.42188,0.3,0.0,0.7,550.0,33.74,51.57,56.95,284.92,65.7,6.57,True
2,exploit,164.0,0.0,405.0,1350.0,1850.0,228.0,2.0,0.0,40.0,0.0,0.4007,0.17781,0.71178,0.57812,0.42188,0.28822,0.0,0.71178,569.0,39.28,54.44,58.19,289.15,69.93,9.44,True
3,exploit,164.0,0.0,425.0,1350.0,1850.0,213.0,2.0,0.0,55.0,0.0,0.36163,0.18406,0.72156,0.57812,0.42188,0.27844,0.0,0.72156,589.0,40.28,55.91,59.97,294.43,75.21,10.91,True
4,exploit,164.0,0.0,405.0,1450.0,1950.0,213.0,2.0,0.0,55.0,0.0,0.37434,0.16735,0.71178,0.57353,0.42647,0.28822,0.0,0.71178,569.0,38.84,53.48,58.55,289.78,70.56,8.48,True
5,exploit,164.0,0.0,425.0,1450.0,1950.0,198.0,2.0,0.0,75.0,0.0,0.33616,0.17324,0.72156,0.57353,0.42647,0.27844,0.0,0.72156,589.0,39.88,56.19,59.89,295.06,75.84,11.19,True
6,exploit,164.0,0.0,405.0,1550.0,2050.0,190.0,2.0,0.0,75.0,0.0,0.33392,0.15806,0.71178,0.56944,0.43056,0.28822,0.0,0.71178,569.0,37.95,52.58,59.18,290.41,71.19,7.58,True
7,exploit,164.0,0.0,425.0,1550.0,2050.0,175.0,2.0,0.0,90.0,0.0,0.29711,0.16361,0.72156,0.56944,0.43056,0.27844,0.0,0.72156,589.0,38.73,55.73,60.43,295.69,76.47,10.73,True
8,exploit,164.0,0.0,405.0,1650.0,2150.0,160.0,2.0,0.0,90.0,0.0,0.2812,0.14974,0.71178,0.56579,0.43421,0.28822,0.0,0.71178,569.0,37.49,53.04,59.68,291.04,71.82,8.04,True
9,exploit,164.0,0.0,405.0,1750.0,2250.0,153.0,2.0,0.0,105.0,0.0,0.26889,0.14225,0.71178,0.5625,0.4375,0.28822,0.0,0.71178,569.0,38.64,54.19,57.6,291.67,72.45,9.19,True
10,exploit,164.0,0.0,385.0,1800.0,2300.0,153.0,2.0,0.0,105.0,0.0,0.27869,0.1339,0.70128,0.56098,0.43902,0.29872,0.0,0.70128,549.0,38.36,53.74,57.56,286.7,67.48,8.74,True
11,exploit,164.0,0.0,405.0,1800.0,2300.0,153.0,2.0,0.0,120.0,0.0,0.26889,0.13878,0.71178,0.56098,0.43902,0.28822,0.0,0.71178,569.0,38.35,54.22,57.77,291.98,72.76,9.22,True
12,exploit,164.0,0.0,385.0,1800.0,2300.0,153.0,2.0,0.0,130.0,0.0,0.27869,0.1339,0.70128,0.56098,0.43902,0.29872,0.0,0.70128,549.0,38.37,53.77,57.58,286.7,67.48,8.77,True
13,exploit,164.0,0.0,405.0,1800.0,2300.0,153.0,2.0,0.0,150.0,0.0,0.26889,0.13878,0.71178,0.56098,0.43902,0.28822,0.0,0.71178,569.0,38.38,54.1,57.62,291.98,72.76,9.1,True
14,exploit,164.0,0.0,385.0,1800.0,2300.0,153.0,2.0,0.0,160.0,0.0,0.27869,0.1339,0.70128,0.56098,0.43902,0.29872,0.0,0.70128,549.0,38.38,53.62,57.58,286.7,67.48,8.62,True
